类目,属性字段,抖店显示名,字段类型,可选值(请填写/逗号分隔),填写示例
时尚套装,适用年龄,,下拉选择,,
连衣裙,领型,,下拉选择,娃娃领/POLO领/荡领/立领/高领/荷叶领/西装领/U型领/连帽/海军领/圆领/方领/木耳领/斜领/堆堆领/围巾领/半开领/V领/不规则领型/一字领/翻领/水滴领/交叉领/镂空领,
连衣裙,袖长,,下拉选择,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖,
连衣裙,袖型,,下拉选择,灯笼袖/堆堆袖/常规/公主袖/泡泡袖/荷叶袖/飞飞袖/喇叭袖/露肩,
连衣裙,款式,,下拉选择,挂脖款/背带款/连帽/斜肩/抹胸款/套头款/吊带款/不规则款,
连衣裙,适用年龄,,下拉选择,,
连衣裙,裙长,,下拉选择,超短裙/长裙/中长裙/短裙,
连衣裙,裙型,,下拉选择,A字群/大摆裙/蓬蓬裙/包臀裙/花苞群/蛋糕裙/荷叶裙/百褶裙/鱼尾裙/拖尾裙/燕尾裙/灯笼裙/鱼骨裙,
连衣裙,腰型,,下拉选择,低腰/中腰/高腰,
连衣裙,材质,,下拉选择,,
T恤-Polo衫-衬衫,领型,,下拉选择,娃娃领/POLO领/荡领/立领/高领/荷叶领/西装领/U型领/连帽/海军领/圆领/方领/木耳领/斜领/堆堆领/围巾领/半开领/V领/不规则领型/一字领/翻领/水滴领/交叉领/镂空领,
T恤-Polo衫-衬衫,袖型,,下拉选择,灯笼袖/常规/泡泡袖/喇叭袖/荷叶袖/飞飞袖/蝙蝠袖,
T恤-Polo衫-衬衫,袖长,,下拉选择,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖,
T恤-Polo衫-衬衫,衣长,,下拉选择,短款/中长款/常规款/长款,
T恤-Polo衫-衬衫,服装版型,,下拉选择,宽松型/修身型,
T恤-Polo衫-衬衫,适用年龄,,下拉选择,,
T恤-Polo衫-衬衫,厚度,,下拉选择,厚款/薄款/常规款,
蕾丝衫-雪纺衫,领型,,下拉选择,娃娃领/POLO领/立领/高领/荷叶领/西装领/连帽/海军领/圆领/方领/斜领/堆堆领/围巾领/半开领/V领/一字领,
蕾丝衫-雪纺衫,袖长,,下拉选择,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖,
蕾丝衫-雪纺衫,衣长,,下拉选择,短款/中长款/常规款/长款,
蕾丝衫-雪纺衫,服装版型,,下拉选择,宽松型/修身型,
蕾丝衫-雪纺衫,穿着方式,,下拉选择,套头/开衫,
蕾丝衫-雪纺衫,袖型,,下拉选择,灯笼袖/堆堆袖/常规/公主袖/泡泡袖/荷叶袖/飞飞袖/喇叭袖,
蕾丝衫-雪纺衫,适用年龄,,下拉选择,18周岁（含）-29周岁（不含）,
针织衫-毛衣-羊毛衫,领型,,下拉选择,娃娃领/POLO领/立领/荷叶领/西装领/连帽/海军领/圆领/方领/斜领/堆堆领/围巾领/半开领/V领/一字领,
针织衫-毛衣-羊毛衫,袖长,,下拉选择,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖/三分袖,
针织衫-毛衣-羊毛衫,衣长,,下拉选择,短款/中长款/常规款/长款,
针织衫-毛衣-羊毛衫,服装版型,,下拉选择,宽松型/修身型,
针织衫-毛衣-羊毛衫,厚度,,下拉选择,薄款/厚款/加绒加厚款/常规款,
针织衫-毛衣-羊毛衫,适用年龄,,下拉选择,,
背心-吊带,领型,,下拉选择,V领/西装领/针织领/翻领/圆领/立领/可脱卸帽,
背心-吊带,服装版型,,下拉选择,宽松型/修身型/直筒型,
背心-吊带,厚度,,下拉选择,厚款/薄款/常规款,
背心-吊带,适用人群,,下拉选择,,
休闲裤,裤长,,下拉选择,,
休闲裤,裤型,,下拉选择,,
休闲裤,腰型,,下拉选择,低腰/中腰/高腰,
休闲裤,服装版型,,下拉选择,,
休闲裤,风格,,下拉选择,,
休闲裤,弹力,,下拉选择,,
休闲裤,厚度,,下拉选择,,
休闲裤,适用年龄,,下拉选择,,
半身裙,裙长,,下拉选择,超短裙/长裙/中长裙/短裙,
半身裙,裙型,,下拉选择,A字群/大摆裙/蓬蓬裙/包臀裙/花苞群/蛋糕裙/荷叶裙/百褶裙/鱼尾裙/燕尾裙/灯笼裙,
半身裙,腰型,,下拉选择,低腰/中腰/高腰,
半身裙,厚度,,下拉选择,薄款/厚款/加绒加厚款/常规款,
半身裙,适用人群,,下拉选择,,
半身裙,适用年龄,,下拉选择,,
外套,服装版型,,下拉选择,宽松型/修身型,
外套,袖型,,下拉选择,灯笼袖/堆堆袖/公主袖/泡泡袖/荷叶袖/飞飞袖/喇叭袖,
外套,袖长,,下拉选择,无袖/短袖/中袖/五分袖/七分袖/九分袖/长袖/三分袖,
外套,衣长,,下拉选择,短款/中长款/常规款/长款,
外套,领型,,下拉选择,娃娃领/POLO领/立领/荷叶领/西装领/连帽/海军领/圆领/方领/斜领/堆堆领/围巾领/半开领/V领/一字领,
外套,厚度,,下拉选择,薄款/厚款/加绒加厚款/常规款,
外套,是否有毛领,,下拉选择,是/否,
外套,适用年龄,,下拉选择,,
